Version,Event name,Date + hour (YYYYMMDDHH),Event count,Total users,Event count per active user,Average engagement time per session,Average session duration,Event value,Scrolled users,Bounce rate,Views,Engagement rate
b,page_view,2025041916,1,1,1,0,0,0,0,0,1,1
b,page_view,2025042004,2,1,2,0,6.426387,0,0,0,2,1
b,session_start,2025041909,1,1,1,0,0,0,0,0,0,1
b,session_start,2025041910,0,0,0,0,0,0,0,0,0,0
b,session_start,2025041912,0,0,0,0,0,0,0,0,0,0
b,session_start,2025041916,1,1,1,0,0,0,0,0,0,1
b,session_start,2025041919,2,2,1,0,0,0,0,1,0,0
b,submit_feedback,2025041913,2,1,2,5,15.675959,6,0,0,0,1
b,user_engagement,2025041919,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041912,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041919,2,2,1,0,0,0,0,1,0,0
b,page_view,2025042200,1,1,1,0,0,0,0,0,1,1
b,session_start,2025041921,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042200,1,1,1,0,0,0,0,0,0,1
b,user_engagement,2025041908,1,1,1,1,0,0,0,0,0,1
b,user_engagement,2025041909,1,1,1,5,26.928523,0,0,0,0,1
b,user_engagement,2025041912,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041918,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042000,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042002,1,1,1,24,21.679001,0,0,0,0,1
b,user_engagement,2025042200,1,1,1,24,25.625858,0,0,0,0,1
b,first_visit,2025041921,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025042200,1,1,1,0,0,0,0,0,0,1
b,page_view,2025041917,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041921,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042223,0,0,0,0,0,0,0,0,0,0
b,scroll,2025041908,2,2,1,3,201.944882,0,2,0,0,1
b,scroll,2025041909,2,2,1,9,12.5447855,0,2,0,0,1
b,scroll,2025041912,0,0,0,0,0,0,0,0,0,0
b,scroll,2025041922,2,1,2,51,86.661642,0,1,0,0,1
b,scroll,2025042004,2,1,2,13,37.483726,0,1,0,0,1
b,session_start,2025041917,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042004,1,1,1,0,0,0,0,0,0,1
b,session_start,2025042014,2,2,1,0,0,0,0,1,0,0
b,user_engagement,2025041910,1,1,1,5,652.99497,0,0,0,0,1
b,user_engagement,2025041911,2,2,1,4,105.8553865,0,0,0,0,1
b,user_engagement,2025041922,2,1,2,192,230.711299,0,0,0,0,1
b,user_engagement,2025042004,1,1,1,16,11.837614,0,0,0,0,1
b,user_engagement,2025042205,0,0,0,0,0,0,0,0,0,0
b,click,2025042002,1,1,1,40,127.552674,0,0,0,0,1
b,first_visit,2025041913,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025041917,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041920,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025042018,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025042119,1,1,1,0,0,0,0,1,0,0
b,first_visit,2025042221,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025042223,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041913,1,1,1,0,0,0,0,0,1,1
b,page_view,2025041920,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042014,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042015,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042016,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042018,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042019,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042023,1,1,1,0,0,0,0,0,1,1
b,page_view,2025042110,1,1,0,0,0,0,0,1,1,0
b,page_view,2025042119,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042201,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042205,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042221,1,1,1,0,0,0,0,0,1,1
b,scroll,2025041910,1,1,1,1,4.993199,0,1,0,0,1
b,scroll,2025041911,1,1,1,10,210.249679,0,1,0,0,1
b,scroll,2025041913,1,1,1,3,61.011107,0,1,0,0,1
b,scroll,2025041916,1,1,1,9,14.000587,0,1,0,0,1
b,scroll,2025041919,0,0,0,0,0,0,0,0,0,0
b,scroll,2025042002,1,1,1,47,80.147265,0,1,0,0,1
b,scroll,2025042019,0,0,0,0,0,0,0,0,0,0
b,scroll,2025042121,1,1,1,8,13.533025,0,1,0,0,1
b,scroll,2025042200,1,1,1,4,9.527181,0,1,0,0,1
b,scroll,2025042205,0,0,0,0,0,0,0,0,0,0
b,session_start,2025041913,1,1,1,0,0,0,0,0,0,1
b,session_start,2025041920,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042015,1,1,1,0,0,0,0,1,0,0
b,session_start,2025042016,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042018,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042019,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042023,1,1,1,0,0,0,0,0,0,1
b,session_start,2025042110,1,1,0,0,0,0,0,1,0,0
b,session_start,2025042119,1,1,1,0,0,0,0,1,0,0
b,session_start,2025042201,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042205,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042221,1,1,1,0,0,0,0,0,0,1
b,session_start,2025042223,0,0,0,0,0,0,0,0,0,0
b,submit_feedback,2025041914,1,1,1,15,990.369555,3,0,0,0,1
b,user_engagement,2025041913,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041917,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041920,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041921,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042014,1,1,1,0,0,0,0,1,0,0
b,user_engagement,2025042016,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042018,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042019,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042023,1,1,1,1,260.698376,0,0,0,0,1
b,user_engagement,2025042221,1,1,1,19,22.262363,0,0,0,0,1
